periodo,periodo_fecha,product_id,tn,cust_request_qty,cust_request_tn,plan_precios_cuidados,cat1,cat2,cat3,sku_size,temp_media,temp_max_media,temp_min_media,IPC,promedio_mens_dolar_venta,catastrofe
201701,2017-01-01,20001,934.77222,479,937.72717,0,HC,ROPA LAVADO,Liquido,3000.0,25.65,30.4,20.9,1.6,15.91,False
201701,2017-01-01,20002,550.15707,391,555.18654,0,HC,ROPA LAVADO,Liquido,3000.0,25.65,30.4,20.9,1.6,15.91,False
201701,2017-01-01,20003,1063.45835,438,1067.81543,0,FOODS,ADEREZOS,Mayonesa,475.0,25.65,30.4,20.9,1.6,15.91,False
201701,2017-01-01,20004,555.9161399999999,339,569.3739400000001,0,FOODS,ADEREZOS,Mayonesa,240.0,25.65,30.4,20.9,1.6,15.91,False
201701,2017-01-01,20005,494.27011,249,494.60084,0,FOODS,ADEREZOS,Mayonesa,120.0,25.65,30.4,20.9,1.6,15.91,False
201701,2017-01-01,20006,528.40996,422,566.54263,0,HC,VAJILLA,Cristalino,750.0,25.65,30.4,20.9,1.6,15.91,False
201701,2017-01-01,20007,464.67137,426,470.73299,0,HC,ROPA ACONDICIONADOR,ACONDICIONADOR,900.0,25.65,30.4,20.9,1.6,15.91,False
201701,2017-01-01,20008,523.04609,420,540.94659,0,HC,VAJILLA,Opaco,750.0,25.65,30.4,20.9,1.6,15.91,False
201701,2017-01-01,20009,378.08172,429,380.53217,0,HC,ROPA LAVADO,Liquido,3000.0,25.65,30.4,20.9,1.6,15.91,False
201701,2017-01-01,20010,441.25546,292,442.93277,0,HC,ROPA LAVADO,Polvo,400.0,25.65,30.4,20.9,1.6,15.91,False
201701,2017-01-01,20011,489.25422000000003,339,494.28288,0,HC,ROPA LAVADO,Polvo,3000.0,25.65,30.4,20.9,1.6,15.91,False
201701,2017-01-01,20012,476.39728,386,491.10893,1,HC,ROPA ACONDICIONADOR,ACONDICIONADOR,800.0,25.65,30.4,20.9,1.6,15.91,False
201701,2017-01-01,20013,433.34928,486,433.76697,0,HC,HOGAR,Cremoso,750.0,25.65,30.4,20.9,1.6,15.91,False
201701,2017-01-01,20014,248.65917,298,259.84835,0,HC,ROPA ACONDICIONADOR,ACONDICIONADOR,3000.0,25.65,30.4,20.9,1.6,15.91,False
201701,2017-01-01,20015,304.24755,374,307.99005,0,HC,ROPA LAVADO,Liquido,800.0,25.65,30.4,20.9,1.6,15.91,False
201701,2017-01-01,20016,293.66064,292,297.59184,0,HC,ROPA LAVADO,Polvo,3000.0,25.65,30.4,20.9,1.6,15.91,False
201701,2017-01-01,20017,327.60433,346,330.74109,0,HC,VAJILLA,Opaco,750.0,25.65,30.4,20.9,1.6,15.91,False
201701,2017-01-01,20018,343.26727999999997,361,347.18825,0,HC,VAJILLA,Cristalino,750.0,25.65,30.4,20.9,1.6,15.91,False
201701,2017-01-01,20019,409.5724,330,424.83601,0,FOODS,ADEREZOS,Mayonesa,950.0,25.65,30.4,20.9,1.6,15.91,False
201701,2017-01-01,20020,293.38983,313,295.17197,0,HC,ROPA LAVADO,Polvo,800.0,25.65,30.4,20.9,1.6,15.91,False
201701,2017-01-01,20021,331.17312,330,334.08221,0,HC,ROPA LAVADO,Polvo,400.0,25.65,30.4,20.9,1.6,15.91,False
201701,2017-01-01,20022,316.55771,328,322.70785,0,HC,ROPA LAVADO,Polvo,800.0,25.65,30.4,20.9,1.6,15.91,False
201701,2017-01-01,20023,207.13875,357,207.68475,0,FOODS,ADEREZOS,Mostaza,240.0,25.65,30.4,20.9,1.6,15.91,False
201701,2017-01-01,20024,313.33302,342,315.95382,0,HC,ROPA LAVADO,Polvo,3000.0,25.65,30.4,20.9,1.6,15.91,False
201701,2017-01-01,20025,166.81392,218,168.3864,0,HC,ROPA LAVADO,Polvo,3000.0,25.65,30.4,20.9,1.6,15.91,False
201701,2017-01-01,20026,184.40019999999998,307,185.10637,0,HC,ROPA LAVADO,Liquido,800.0,25.65,30.4,20.9,1.6,15.91,False
201701,2017-01-01,20027,223.33358,518,223.33358,0,HC,HOGAR,Antigrasa,450.0,25.65,30.4,20.9,1.6,15.91,False
201701,2017-01-01,20028,280.32732,254,280.32732,0,HC,ROPA LAVADO,Polvo,3000.0,25.65,30.4,20.9,1.6,15.91,False
201701,2017-01-01,20029,236.03158000000002,310,239.95254,0,HC,VAJILLA,Cristalino,750.0,25.65,30.4,20.9,1.6,15.91,False
201701,2017-01-01,20030,354.354,251,364.455,0,HC,ROPA LAVADO,Polvo,5000.0,25.65,30.4,20.9,1.6,15.91,False
201701,2017-01-01,20031,138.09868,220,138.09868,0,HC,ROPA LAVADO,Polvo,800.0,25.65,30.4,20.9,1.6,15.91,False
201701,2017-01-01,20033,196.83573,317,196.83573,0,FOODS,ADEREZOS,Ketchup,240.0,25.65,30.4,20.9,1.6,15.91,False
201701,2017-01-01,20034,391.17078,415,402.47298,0,HC,ROPA LAVADO,Polvo,3000.0,25.65,30.4,20.9,1.6,15.91,False
201701,2017-01-01,20035,196.32423,252,198.38593,0,HC,ROPA LAVADO,Polvo,400.0,25.65,30.4,20.9,1.6,15.91,False
201701,2017-01-01,20036,396.3232,289,408.7174,0,HC,ROPA LAVADO,Polvo,5000.0,25.65,30.4,20.9,1.6,15.91,False
201701,2017-01-01,20037,107.01826,332,107.7154,0,FOODS,SOPAS Y CALDOS,Caldo Cubo,12.0,25.65,30.4,20.9,1.6,15.91,False
201701,2017-01-01,20038,230.12367,278,236.0292,0,HC,ROPA LAVADO,Polvo,800.0,25.65,30.4,20.9,1.6,15.91,False
201701,2017-01-01,20039,232.57636,408,235.78684,0,HC,ROPA MANCHAS,Ladrillo,200.0,25.65,30.4,20.9,1.6,15.91,False
201701,2017-01-01,20040,251.02532,279,258.86724,0,HC,VAJILLA,Cristalino,750.0,25.65,30.4,20.9,1.6,15.91,False
201701,2017-01-01,20041,191.12626,231,201.19013,0,HC,ROPA LAVADO,Polvo,400.0,25.65,30.4,20.9,1.6,15.91,False
201701,2017-01-01,20042,158.67551,344,158.67551,0,HC,VAJILLA,Gel,500.0,25.65,30.4,20.9,1.6,15.91,False
201701,2017-01-01,20043,178.5289,296,180.73038,0,HC,ROPA LAVADO,Polvo,800.0,25.65,30.4,20.9,1.6,15.91,False
201701,2017-01-01,20044,194.83483,492,195.67491,0,PC,CABELLO,SHAMPOO,930.0,25.65,30.4,20.9,1.6,15.91,False
201701,2017-01-01,20045,114.16856,330,114.16856,0,HC,ROPA LAVADO,Liquido,800.0,25.65,30.4,20.9,1.6,15.91,False
201701,2017-01-01,20046,258.48154999999997,308,258.48154999999997,0,FOODS,ADEREZOS,Mayonesa,475.0,25.65,30.4,20.9,1.6,15.91,False
201701,2017-01-01,20047,180.06395,459,181.20506,0,PC,CABELLO,SHAMPOO,930.0,25.65,30.4,20.9,1.6,15.91,False
201701,2017-01-01,20048,209.69153,370,209.69153,0,FOODS,SOPAS Y CALDOS,Salsas Wet,350.0,25.65,30.4,20.9,1.6,15.91,False
201701,2017-01-01,20050,155.55315,255,159.18733,0,HC,ROPA LAVADO,Polvo,800.0,25.65,30.4,20.9,1.6,15.91,False
201701,2017-01-01,20051,124.07345000000001,314,125.70804,0,HC,ROPA ACONDICIONADOR,ACONDICIONADOR,900.0,25.65,30.4,20.9,1.6,15.91,False
201701,2017-01-01,20052,150.34129000000001,165,150.34129000000001,0,FOODS,SOPAS Y CALDOS,Pure de Tomate,500.0,25.65,30.4,20.9,1.6,15.91,False
201701,2017-01-01,20053,170.59296,483,175.18141,0,HC,HOGAR,Vidrios,450.0,25.65,30.4,20.9,1.6,15.91,False
201701,2017-01-01,20054,157.74961,451,157.74961,0,PC,CABELLO,SHAMPOO,930.0,25.65,30.4,20.9,1.6,15.91,False
201701,2017-01-01,20055,158.28111,329,158.39665,0,HC,ROPA ACONDICIONADOR,Diluido,900.0,25.65,30.4,20.9,1.6,15.91,False
201701,2017-01-01,20056,75.05934,192,81.38366,0,HC,ROPA ACONDICIONADOR,Diluido,3000.0,25.65,30.4,20.9,1.6,15.91,False
201701,2017-01-01,20057,125.86815,397,125.86815,0,HC,HOGAR,Cremoso,375.0,25.65,30.4,20.9,1.6,15.91,False
201701,2017-01-01,20058,159.93297,482,161.43077,0,PC,PIEL2,Barra,90.0,25.65,30.4,20.9,1.6,15.91,False
201701,2017-01-01,20059,142.46939,454,142.46939,0,PC,CABELLO,ACONDICIONADOR,930.0,25.65,30.4,20.9,1.6,15.91,False
201701,2017-01-01,20060,169.89771,307,170.02001,0,HC,ROPA LAVADO,Polvo,800.0,25.65,30.4,20.9,1.6,15.91,False
201701,2017-01-01,20061,151.69193,439,151.69193,0,PC,CABELLO,ACONDICIONADOR,930.0,25.65,30.4,20.9,1.6,15.91,False
201701,2017-01-01,20062,157.42856,528,157.42861,0,HC,HOGAR,LAVANDINA EN GEL,700.0,25.65,30.4,20.9,1.6,15.91,False
201701,2017-01-01,20063,113.57203,349,113.57203,0,HC,VAJILLA,Gel,500.0,25.65,30.4,20.9,1.6,15.91,False
201701,2017-01-01,20064,237.9104,263,238.875,0,HC,ROPA LAVADO,Polvo,5000.0,25.65,30.4,20.9,1.6,15.91,False
201701,2017-01-01,20065,145.15956,360,145.15956,0,HC,HOGAR,Cremoso,750.0,25.65,30.4,20.9,1.6,15.91,False
201701,2017-01-01,20066,146.8347,292,146.8347,0,HC,ROPA LAVADO,Polvo,800.0,25.65,30.4,20.9,1.6,15.91,False
201701,2017-01-01,20067,178.56384,348,180.48576,0,HC,ROPA LAVADO,Polvo,800.0,25.65,30.4,20.9,1.6,15.91,False
201701,2017-01-01,20068,141.59337,391,141.59337,0,HC,HOGAR,Antigrasa,900.0,25.65,30.4,20.9,1.6,15.91,False
201701,2017-01-01,20069,133.63467,255,133.8356,0,HC,ROPA LAVADO,Polvo,400.0,25.65,30.4,20.9,1.6,15.91,False
201701,2017-01-01,20070,115.12294,465,115.12639,0,HC,VAJILLA,Gel,300.0,25.65,30.4,20.9,1.6,15.91,False
201701,2017-01-01,20071,103.05864,230,103.06737,0,HC,ROPA LAVADO,Polvo,400.0,25.65,30.4,20.9,1.6,15.91,False
201701,2017-01-01,20072,117.23166,236,117.23166,0,HC,ROPA LAVADO,Polvo,3000.0,25.65,30.4,20.9,1.6,15.91,False
201701,2017-01-01,20073,95.83056,279,96.05027,1,HC,VAJILLA,Gel,450.0,25.65,30.4,20.9,1.6,15.91,False
201701,2017-01-01,20074,96.22687,277,99.02903,0,HC,ROPA ACONDICIONADOR,ACONDICIONADOR,900.0,25.65,30.4,20.9,1.6,15.91,False
201701,2017-01-01,20075,136.63868,421,136.89770000000001,0,PC,CABELLO,SHAMPOO,930.0,25.65,30.4,20.9,1.6,15.91,False
201701,2017-01-01,20076,89.02047,339,89.02047,0,HC,HOGAR,Baño,450.0,25.65,30.4,20.9,1.6,15.91,False
201701,2017-01-01,20077,101.87181,278,101.87181,0,FOODS,SOPAS Y CALDOS,Salsas Wet,350.0,25.65,30.4,20.9,1.6,15.91,False
201701,2017-01-01,20078,112.27135,352,112.27135,0,FOODS,ADEREZOS,Mostaza,500.0,25.65,30.4,20.9,1.6,15.91,False
201701,2017-01-01,20079,78.86154,277,79.25465,0,FOODS,SOPAS Y CALDOS,Pure de Papas,125.0,25.65,30.4,20.9,1.6,15.91,False
201701,2017-01-01,20080,118.20488,424,118.20488,0,PC,CABELLO,ACONDICIONADOR,930.0,25.65,30.4,20.9,1.6,15.91,False
201701,2017-01-01,20081,72.78453,308,72.78453,0,PC,PIEL2,Jabon Regular,375.0,25.65,30.4,20.9,1.6,15.91,False
201701,2017-01-01,20082,98.92867,260,99.54017999999999,0,HC,ROPA MANCHAS,Ladrillo,200.0,25.65,30.4,20.9,1.6,15.91,False
201701,2017-01-01,20083,206.33886,262,218.5092,0,HC,ROPA LAVADO,Polvo,3000.0,25.65,30.4,20.9,1.6,15.91,False
201701,2017-01-01,20084,1.37455,2,1.37455,0,FOODS,ADEREZOS,Mayonesa,475.0,25.65,30.4,20.9,1.6,15.91,False
201701,2017-01-01,20086,73.56162,271,73.56162,0,FOODS,OTROS,Almidon,500.0,25.65,30.4,20.9,1.6,15.91,False
201701,2017-01-01,20087,102.92085,311,103.54355,0,HC,ROPA ACONDICIONADOR,ACONDICIONADOR,900.0,25.65,30.4,20.9,1.6,15.91,False
201701,2017-01-01,20088,139.66107,326,141.30431,0,HC,ROPA ACONDICIONADOR,ACONDICIONADOR,4000.0,25.65,30.4,20.9,1.6,15.91,False
