cat1,cat2,cat3,brand,sku_size,product_id,producto_estrella
HC,ROPA LAVADO,Liquido,LIMPIEX,900,20280,0
HC,ROPA LAVADO,Liquido,LIMPIEX,450,20180,0
HC,ROPA LAVADO,Liquido,LIMPIEX,120,20332,0
HC,ROPA LAVADO,Liquido,LIMPIEX,450,20222,0
HC,ROPA LAVADO,Liquido,LIMPIEX,900,20288,0
HC,ROPA LAVADO,Liquido,LIMPIEX,900,20582,0
HC,ROPA LAVADO,Liquido,LIMPIEX,450,20507,0
HC,ROPA LAVADO,Liquido,LIMPIEX,500,20740,0
HC,ROPA MANCHAS,Ladrillo,LIMPIEX,200,20082,0
HC,ROPA MANCHAS,Ladrillo,LIMPIEX,200,20039,0
HC,VAJILLA,Opaco,LIMPIEX,750,20017,0
HC,VAJILLA,Opaco,LIMPIEX,750,20008,0
HC,VAJILLA,Cristalino,LIMPIEX,750,20018,0
HC,VAJILLA,Cristalino,LIMPIEX,750,20109,0
HC,VAJILLA,Cristalino,LIMPIEX,750,20006,1
HC,PROFESIONAL,Liquido,LIMPIEX,5000,20487,0
HC,ROPA LAVADO,Liquido,LIMPIEX,2,21052,0
HC,ROPA LAVADO,Liquido,LIMPIEX,400,20174,0
HC,ROPA LAVADO,Liquido,LIMPIEX,1400,20126,0
HC,ROPA LAVADO,Liquido,LIMPIEX,3000,20085,0
HC,ROPA LAVADO,Liquido,LIMPIEX,1500,20110,0
HC,ROPA LAVADO,Liquido,LIMPIEX,800,20026,0
HC,ROPA LAVADO,Liquido,LIMPIEX,3000,20002,1
HC,ROPA LAVADO,Liquido,LIMPIEX,1500,20373,0
HC,ROPA LAVADO,Liquido,LIMPIEX,3000,20168,0
HC,ROPA LAVADO,Polvo,LIMPIEX,1500,20156,0
HC,ROPA LAVADO,Polvo,LIMPIEX,800,20455,0
HC,ROPA LAVADO,Polvo,LIMPIEX,3000,20498,0
HC,ROPA LAVADO,Polvo,LIMPIEX,800,20043,0
HC,ROPA LAVADO,Polvo,LIMPIEX,3000,20024,0
HC,VAJILLA,Opaco,LIMPIEX,1250,20097,0
HC,VAJILLA,Opaco,LIMPIEX,4000,20099,0
HC,VAJILLA,Cristalino,LIMPIEX,750,20029,0
HC,VAJILLA,Cristalino,LIMPIEX,4000,20178,0
HC,VAJILLA,Cristalino,LIMPIEX,750,20040,0
HC,PROFESIONAL,Polvo,LIMPIEX,10000,20164,0
HC,ROPA LAVADO,Polvo,LIMPIEX,400,20010,0
HC,ROPA LAVADO,Polvo,LIMPIEX,800,20022,0
HC,ROPA LAVADO,Polvo,LIMPIEX,3000,20025,0
HC,ROPA LAVADO,Polvo,LIMPIEX,400,20021,0
HC,ROPA LAVADO,Polvo,LIMPIEX,800,20020,0
HC,ROPA LAVADO,Polvo,LIMPIEX,5000,20030,0
HC,ROPA LAVADO,Polvo,LIMPIEX,3000,20011,1
HC,ROPA LAVADO,Polvo,LIMPIEX,400,20035,0
HC,ROPA LAVADO,Polvo,LIMPIEX,800,20031,0
HC,ROPA LAVADO,Polvo,LIMPIEX,3000,20016,0
HC,ROPA LAVADO,Liquido,LIMPIEX,400,20439,0
HC,ROPA LAVADO,Liquido,LIMPIEX,400,20731,0
HC,ROPA LAVADO,Liquido,LIMPIEX,400,20493,0
HC,ROPA LAVADO,Polvo,LIMPIEX,420,20814,0
HC,ROPA LAVADO,Polvo,LIMPIEX,400,20041,0
HC,ROPA LAVADO,Polvo,LIMPIEX,800,20050,0
HC,VAJILLA,Opaco,LIMPIEX,300,20345,0
HC,VAJILLA,Opaco,LIMPIEX,500,20546,0
HC,PROFESIONAL,Opaco,LIMPIEX,5000,20576,0
HC,VAJILLA,Opaco,LIMPIEX,300,20233,0
HC,VAJILLA,Opaco,LIMPIEX,500,20361,0
HC,VAJILLA,Cristalino,LIMPIEX,450,20286,0
HC,VAJILLA,Cristalino,LIMPIEX,300,20442,0
HC,VAJILLA,Cristalino,LIMPIEX,500,20548,0
HC,VAJILLA,Cristalino,LIMPIEX,300,20148,0
HC,VAJILLA,Cristalino,LIMPIEX,500,20162,0
HC,VAJILLA,Cristalino,LIMPIEX,750,20620,0
PC,DEOS,Aero,COLBERT,90,20811,0
PC,DEOS,Aero,COLBERT,90,20866,0
PC,DEOS,Aero,COLBERT,89,20844,0
PC,DEOS,Aero,COLBERT,100,20818,0
PC,DEOS,Aero,COLBERT,110,21061,0
PC,DEOS,Aero,COLBERT,100,20481,0
PC,PIEL2,Gel Ducha,COLBERT,200,21128,0
PC,CABELLO,Styling,COLBERT,75,21176,0
PC,CABELLO,Styling,COLBERT,75,21227,0
PC,CABELLO,Styling,COLBERT,75,21164,0
PC,DEOS,Aero,COLBERT,90,20539,0
PC,DEOS,Aero,COLBERT,90,20898,0
PC,DEOS,Aero,COLBERT,90,20599,0
PC,DEOS,Aero,COLBERT,90,20972,0
PC,DEOS,Aero,COLBERT,90,20920,0
PC,DEOS,Aero,COLBERT,90,20912,0
PC,DEOS,Aero,COLBERT,90,20904,0
PC,DEOS,Aero,COLBERT,100,20267,0
PC,DEOS,Aero,COLBERT,100,20590,0
PC,DEOS,Aero,COLBERT,100,20367,0
PC,DEOS,Aero,COLBERT,100,20321,0
PC,DEOS,Aero,COLBERT,100,20452,0
PC,DEOS,Aero,COLBERT,100,20496,0
PC,DEOS,Aero,COLBERT,100,20386,0
PC,DEOS,Aero,COLBERT,100,20799,0
PC,DEOS,Aero,COLBERT,100,20566,0
PC,DEOS,Aero,COLBERT,100,20263,0
PC,DEOS,Aero,COLBERT,110,21078,0
PC,DEOS,Aero,COLBERT,90,20536,0
PC,DEOS,Aero,COLBERT,110,21106,0
PC,DEOS,Aero,COLBERT,100,20719,0
PC,DEOS,NoAero,COLBERT,50,21156,0
PC,DEOS,NoAero,COLBERT,55,21027,0
PC,DEOS,NoAero,COLBERT,55,21071,0
PC,DEOS,NoAero,COLBERT,50,21196,0
PC,PIEL2,Gel Ducha,COLBERT,250,21068,0
PC,PIEL2,Gel Ducha,COLBERT,250,21051,0
PC,CABELLO,Styling,COLBERT,170,21034,0
PC,CABELLO,Styling,COLBERT,170,21040,0
FOODS,SOPAS Y CALDOS,PurePapas,SALSATI,100,20460,0
FOODS,SOPAS Y CALDOS,Salsas,SALSATI,350,20237,0
FOODS,SOPAS Y CALDOS,Salsas,SALSATI,350,20186,0
FOODS,SOPAS Y CALDOS,Salsas,SALSATI,350,20229,0
FOODS,SOPAS Y CALDOS,Salsas,SALSATI,350,20760,0
FOODS,SOPAS Y CALDOS,Salsas,SALSATI,350,20723,0
HC,VAJILLA,Gel,MUSCULO,900,20185,0
HC,VAJILLA,Gel,MUSCULO,300,20144,0
HC,VAJILLA,Gel,MUSCULO,500,20124,0
HC,VAJILLA,Gel,MUSCULO,300,20070,0
HC,VAJILLA,Gel,MUSCULO,500,20042,0
HC,VAJILLA,Gel,MUSCULO,750,20202,0
HC,VAJILLA,Gel,MUSCULO,300,20103,0
HC,VAJILLA,Gel,MUSCULO,500,20063,0
HC,VAJILLA,Gel,MUSCULO,750,20183,0
HC,PROFESIONAL,Gel,MUSCULO,5000,20886,0
HC,VAJILLA,Gel,MUSCULO,450,20073,0
HC,VAJILLA,Gel,MUSCULO,300,20412,0
HC,VAJILLA,Gel,MUSCULO,500,20374,0
HC,VAJILLA,Gel,MUSCULO,750,20564,0
HC,VAJILLA,Gel,MUSCULO,300,20477,0
HC,VAJILLA,Gel,MUSCULO,500,20408,0
HC,VAJILLA,Gel,MUSCULO,750,20712,0
HC,VAJILLA,Gel,MUSCULO,900,20165,0
HC,VAJILLA,Gel,MUSCULO,450,20112,0
HC,VAJILLA,Gel,MUSCULO,300,20485,0
HC,VAJILLA,Gel,MUSCULO,500,20376,0
HC,VAJILLA,Gel,MUSCULO,750,20595,0
HC,PROFESIONAL,Antigrasa,MUSCULO,5000,20395,0
HC,HOGAR,Antigrasa,MUSCULO,900,20068,0
HC,HOGAR,Antigrasa,MUSCULO,450,20027,0
HC,HOGAR,Antigrasa,MUSCULO,500,20246,0
