product_id,tn,cust_request_tn,cust_request_qty,plan_precios_cuidados,mes,meses_historia,cat1,cat2,cat3,sku_size,producto_estrella,temp_media,temp_max_media,temp_min_media,IPC,promedio_mens_dolar_venta,catastrofe,dif_cust_request_tn,dif_cust_request_tn_porc,tn_lag_1,tn_lag_2,tn_lag_3,tn_lag_4,tn_lag_5,tn_lag_6,tn_lag_7,tn_lag_8,tn_lag_9,tn_lag_10,tn_lag_11,tn_lag_12,tn_lag_13,tn_lag_14,tn_lag_15,tn_delta_1,tn_delta_2,tn_delta_3,tn_delta_4,tn_delta_5,tn_delta_6,tn_delta_7,tn_delta_8,tn_delta_9,tn_delta_10,tn_delta_11,tn_delta_12,tn_delta_13,tn_delta_14,tn_delta_15,cat1_tn,cat1_tn_lag_1,cat1_tn_delta_1,cat1_tn_lag_2,cat1_tn_delta_2,cat1_tn_lag_3,cat1_tn_delta_3,cat1_tn_lag_4,cat1_tn_delta_4,cat1_tn_lag_5,cat1_tn_delta_5,cat1_tn_lag_6,cat1_tn_delta_6,cat1_tn_lag_7,cat1_tn_delta_7,cat1_tn_lag_8,cat1_tn_delta_8,cat1_tn_lag_9,cat1_tn_delta_9,cat1_tn_lag_10,cat1_tn_delta_10,cat1_tn_lag_11,cat1_tn_delta_11,cat1_tn_lag_12,cat1_tn_delta_12,cat1_tn_lag_13,cat1_tn_delta_13,cat1_tn_lag_14,cat1_tn_delta_14,cat1_tn_lag_15,cat1_tn_delta_15,cat2_tn,cat2_tn_lag_1,cat2_tn_delta_1,cat2_tn_lag_2,cat2_tn_delta_2,cat2_tn_lag_3,cat2_tn_delta_3,cat2_tn_lag_4,cat2_tn_delta_4,cat2_tn_lag_5,cat2_tn_delta_5,cat2_tn_lag_6,cat2_tn_delta_6,cat2_tn_lag_7,cat2_tn_delta_7,cat2_tn_lag_8,cat2_tn_delta_8,cat2_tn_lag_9,cat2_tn_delta_9,cat2_tn_lag_10,cat2_tn_delta_10,cat2_tn_lag_11,cat2_tn_delta_11,cat2_tn_lag_12,cat2_tn_delta_12,cat2_tn_lag_13,cat2_tn_delta_13,cat2_tn_lag_14,cat2_tn_delta_14,cat2_tn_lag_15,cat2_tn_delta_15,cat3_tn,cat3_tn_lag_1,cat3_tn_delta_1,cat3_tn_lag_2,cat3_tn_delta_2,cat3_tn_lag_3,cat3_tn_delta_3,cat3_tn_lag_4,cat3_tn_delta_4,cat3_tn_lag_5,cat3_tn_delta_5,cat3_tn_lag_6,cat3_tn_delta_6,cat3_tn_lag_7,cat3_tn_delta_7,cat3_tn_lag_8,cat3_tn_delta_8,cat3_tn_lag_9,cat3_tn_delta_9,cat3_tn_lag_10,cat3_tn_delta_10,cat3_tn_lag_11,cat3_tn_delta_11,cat3_tn_lag_12,cat3_tn_delta_12,cat3_tn_lag_13,cat3_tn_delta_13,cat3_tn_lag_14,cat3_tn_delta_14,cat3_tn_lag_15,cat3_tn_delta_15,tn_target,tn_predicted
20001,1259.09363,1343.99435,367.0,0.0,2,25,HC,ROPA LAVADO,Liquido,3000.0,1.0,24.2,29.1,19.2,3.8,38.4,False,84.90071999999986,6.317044413170327,1275.77351,1486.68669,1813.01511,2295.19832,1438.67455,1800.96168,1470.41009,1150.79169,1293.89788,1251.28462,1856.83534,1043.7647,1169.07532,1049.3886,1580.47401,-16.679879999999912,-227.59305999999992,-553.92148,-1036.10469,-179.58091999999988,-541.8680499999998,-211.31646,108.30194000000006,-34.80424999999991,7.809010000000171,-597.74171,215.32893000000013,90.01831000000016,209.70503000000008,-321.38037999999983,18557.01672,17956.986,600.0307199999988,16564.8676,1992.1491199999984,20725.71327,-2168.696550000001,22559.80638,-4002.789660000002,20413.00558,-1855.9888600000013,23117.69887,-4560.682150000001,20762.78062,-2205.7639000000017,21589.87856,-3032.8618400000014,25445.28254,-6888.2658200000005,22694.82364,-4137.806919999999,29986.41225,-11429.395530000002,21312.38248,-2755.3657600000006,19118.31309,-561.29637,22721.70153,-4164.684809999999,26323.0371,-7766.020380000002,9849.71082,9588.29406,261.41676000000007,9253.0304,596.6804200000006,12044.53973,-2194.82891,13170.32789,-3320.61707,11921.09738,-2071.386559999999,12270.15701,-2420.4461899999988,10571.97919,-722.2683699999998,11624.15151,-1774.4406899999994,13101.47867,-3251.76785,10820.04607,-970.33525,15297.13566,-5447.42484,11505.81707,-1656.1062500000007,10273.33927,-423.62845000000016,12591.53112,-2741.8202999999994,14484.51475,-4634.80393,4803.36603,4714.71521,88.65081999999984,4845.26343,-41.89739999999984,6436.29452,-1632.9284900000002,6989.499870000001,-2186.1338400000004,5221.53214,-418.1661100000001,5375.71267,-572.3466399999998,4606.54745,196.8185800000001,4699.75161,103.61441999999988,5486.00805,-682.6420200000002,4552.74026,250.62577000000056,6097.12292,-1293.7568899999997,4243.47832,559.88771,4549.7983,253.5677300000007,4434.73833,368.6277,4920.6361,-117.27006999999958,1647.6384799999998,1317.5187879354353
20002,1043.01349,1090.26594,377.0,0.0,2,25,HC,ROPA LAVADO,Liquido,3000.0,1.0,24.2,29.1,19.2,3.8,38.4,False,47.25244999999995,4.334029732232115,1266.78751,1009.45458,1766.81068,1378.49032,954.23575,1161.8843,977.40239,1033.82845,1103.39191,999.20934,966.86044,712.00087,984.80167,820.58984,750.41853,-223.7740200000001,33.55891000000008,-723.79719,-335.47683000000006,88.77774,-118.87080999999988,65.61110000000008,9.185040000000072,-60.378420000000006,43.80415000000005,76.15305000000001,331.0126200000001,58.2118200000001,222.42365000000007,292.59496,18557.01672,17956.986,600.0307199999988,16564.8676,1992.1491199999984,20725.71327,-2168.696550000001,22559.80638,-4002.789660000002,20413.00558,-1855.9888600000013,23117.69887,-4560.682150000001,20762.78062,-2205.7639000000017,21589.87856,-3032.8618400000014,25445.28254,-6888.2658200000005,22694.82364,-4137.806919999999,29986.41225,-11429.395530000002,21312.38248,-2755.3657600000006,19118.31309,-561.29637,22721.70153,-4164.684809999999,26323.0371,-7766.020380000002,9849.71082,9588.29406,261.41676000000007,9253.0304,596.6804200000006,12044.53973,-2194.82891,13170.32789,-3320.61707,11921.09738,-2071.386559999999,12270.15701,-2420.4461899999988,10571.97919,-722.2683699999998,11624.15151,-1774.4406899999994,13101.47867,-3251.76785,10820.04607,-970.33525,15297.13566,-5447.42484,11505.81707,-1656.1062500000007,10273.33927,-423.62845000000016,12591.53112,-2741.8202999999994,14484.51475,-4634.80393,4803.36603,4714.71521,88.65081999999984,4845.26343,-41.89739999999984,6436.29452,-1632.9284900000002,6989.499870000001,-2186.1338400000004,5221.53214,-418.1661100000001,5375.71267,-572.3466399999998,4606.54745,196.8185800000001,4699.75161,103.61441999999988,5486.00805,-682.6420200000002,4552.74026,250.62577000000056,6097.12292,-1293.7568899999997,4243.47832,559.88771,4549.7983,253.5677300000007,4434.73833,368.6277,4920.6361,-117.27006999999958,1287.62346,1286.7118555429658
20003,758.3265700000001,768.28561,361.0,0.0,2,25,FOODS,ADEREZOS,Mayonesa,475.0,1.0,24.2,29.1,19.2,3.8,38.4,False,9.95903999999996,1.2962679334837417,964.76919,769.82869,1206.91773,1313.34211,912.34156,955.97079,656.227,660.73323,784.35885,765.47838,778.55594,788.30749,907.56304,961.66344,1426.23717,-206.44261999999992,-11.50211999999999,-448.59115999999983,-555.01554,-154.0149899999999,-197.6442199999999,102.09957000000009,97.59334,-26.0322799999999,-7.151809999999955,-20.229369999999903,-29.98091999999997,-149.23646999999994,-203.33687,-667.9106,6076.86775,5861.66846,215.19929000000047,5638.83007,438.0376800000004,7697.71507,-1620.84732,8230.65501,-2153.78726,7546.90896,-1470.0412099999994,8238.45257,-2161.584819999999,6731.2377,-654.3699499999993,6813.9678,-737.10005,8415.4098,-2338.542049999999,7329.36337,-1252.4956199999997,9090.68155,-3013.813799999999,6613.61818,-536.75043,5157.12852,919.73923,6725.61765,-648.7498999999998,8799.99482,-2723.1270699999995,3818.79481,4225.41489,-406.62008000000014,4305.73787,-486.94306000000006,6100.95579,-2282.16098,6557.28642,-2738.4916100000005,5764.96503,-1946.1702200000004,5909.285,-2090.49019,4261.13119,-442.3363800000002,3784.06166,34.73315000000002,4776.35769,-957.56288,4090.53639,-271.74158000000034,4912.40087,-1093.6060600000003,4505.4888,-686.6939900000002,3768.12947,50.665340000000015,4983.49939,-1164.70458,6980.377820000001,-3161.5830100000007,2921.02692,3169.74696,-248.7200399999997,3204.16289,-283.1359699999998,4421.90999,-1500.88307,5063.17958,-2142.15266,4120.08745,-1199.0605299999995,4294.47844,-1373.4515199999996,3010.00526,-88.97833999999966,2661.728,259.2989200000002,3409.48202,-488.4550999999997,3007.06302,-86.0360999999998,3488.88527,-567.85835,3396.2408,-475.2138799999998,2673.80267,247.2242500000002,3687.3776,-766.35068,5328.077200000001,-2407.0502800000004,565.33774,750.3034847840285
20004,441.70332,449.98505,365.0,0.0,2,25,FOODS,ADEREZOS,Mayonesa,240.0,1.0,24.2,29.1,19.2,3.8,38.4,False,8.281729999999982,1.8404455881367572,511.33713,585.56477,802.34669,809.6708600000001,948.86342,936.42001,653.4231,447.84475,641.37063,611.51237,488.92473,503.65326,415.52538,568.79679,897.42607,-69.63380999999998,-143.86144999999993,-360.64337,-367.96754,-507.1601,-494.71669,-211.71978,-6.141429999999957,-199.66731,-169.80905,-47.22140999999999,-61.94993999999997,26.177940000000035,-127.09346999999995,-455.72275,6076.86775,5861.66846,215.19929000000047,5638.83007,438.0376800000004,7697.71507,-1620.84732,8230.65501,-2153.78726,7546.90896,-1470.0412099999994,8238.45257,-2161.584819999999,6731.2377,-654.3699499999993,6813.9678,-737.10005,8415.4098,-2338.542049999999,7329.36337,-1252.4956199999997,9090.68155,-3013.813799999999,6613.61818,-536.75043,5157.12852,919.73923,6725.61765,-648.7498999999998,8799.99482,-2723.1270699999995,3818.79481,4225.41489,-406.62008000000014,4305.73787,-486.94306000000006,6100.95579,-2282.16098,6557.28642,-2738.4916100000005,5764.96503,-1946.1702200000004,5909.285,-2090.49019,4261.13119,-442.3363800000002,3784.06166,34.73315000000002,4776.35769,-957.56288,4090.53639,-271.74158000000034,4912.40087,-1093.6060600000003,4505.4888,-686.6939900000002,3768.12947,50.665340000000015,4983.49939,-1164.70458,6980.377820000001,-3161.5830100000007,2921.02692,3169.74696,-248.7200399999997,3204.16289,-283.1359699999998,4421.90999,-1500.88307,5063.17958,-2142.15266,4120.08745,-1199.0605299999995,4294.47844,-1373.4515199999996,3010.00526,-88.97833999999966,2661.728,259.2989200000002,3409.48202,-488.4550999999997,3007.06302,-86.0360999999998,3488.88527,-567.85835,3396.2408,-475.2138799999998,2673.80267,247.2242500000002,3687.3776,-766.35068,5328.077200000001,-2407.0502800000004,466.70901,530.0324868917528
20005,409.8995,418.14628,328.0,0.0,2,25,FOODS,ADEREZOS,Mayonesa,120.0,1.0,24.2,29.1,19.2,3.8,38.4,False,8.246780000000001,1.972223691670772,363.58438,372.63428,469.26344,893.74086,761.7752,874.88924,502.34077,547.62513,637.11135,496.41774,559.98671,399.20878,417.53208,329.42894,776.7654200000001,46.31511999999998,37.26522,-59.363940000000014,-483.84136,-351.87570000000005,-464.98974,-92.44127000000005,-137.72563000000002,-227.21185000000003,-86.51823999999999,-150.08721000000003,10.69072,-7.632580000000019,80.47055999999998,-366.8659200000001,6076.86775,5861.66846,215.19929000000047,5638.83007,438.0376800000004,7697.71507,-1620.84732,8230.65501,-2153.78726,7546.90896,-1470.0412099999994,8238.45257,-2161.584819999999,6731.2377,-654.3699499999993,6813.9678,-737.10005,8415.4098,-2338.542049999999,7329.36337,-1252.4956199999997,9090.68155,-3013.813799999999,6613.61818,-536.75043,5157.12852,919.73923,6725.61765,-648.7498999999998,8799.99482,-2723.1270699999995,3818.79481,4225.41489,-406.62008000000014,4305.73787,-486.94306000000006,6100.95579,-2282.16098,6557.28642,-2738.4916100000005,5764.96503,-1946.1702200000004,5909.285,-2090.49019,4261.13119,-442.3363800000002,3784.06166,34.73315000000002,4776.35769,-957.56288,4090.53639,-271.74158000000034,4912.40087,-1093.6060600000003,4505.4888,-686.6939900000002,3768.12947,50.665340000000015,4983.49939,-1164.70458,6980.377820000001,-3161.5830100000007,2921.02692,3169.74696,-248.7200399999997,3204.16289,-283.1359699999998,4421.90999,-1500.88307,5063.17958,-2142.15266,4120.08745,-1199.0605299999995,4294.47844,-1373.4515199999996,3010.00526,-88.97833999999966,2661.728,259.2989200000002,3409.48202,-488.4550999999997,3007.06302,-86.0360999999998,3488.88527,-567.85835,3396.2408,-475.2138799999998,2673.80267,247.2242500000002,3687.3776,-766.35068,5328.077200000001,-2407.0502800000004,624.9988,459.6138431505677
20006,479.99914,492.29526,375.0,0.0,2,25,HC,VAJILLA,Cristalino,750.0,1.0,24.2,29.1,19.2,3.8,38.4,False,12.296119999999974,2.49771245004471,578.74461,407.75925,566.66809,513.15472,478.04388,615.70617,515.20419,468.1526,865.28861,748.4439100000001,862.19361,588.56272,470.33785,530.36517,724.31168,-98.74546999999995,72.23989,-86.66895,-33.155579999999986,1.9552600000000095,-135.70703000000003,-35.20505000000003,11.846540000000005,-385.28947,-268.44477000000006,-382.19447,-108.56358,9.661290000000008,-50.36603000000002,-244.31254,18557.01672,17956.986,600.0307199999988,16564.8676,1992.1491199999984,20725.71327,-2168.696550000001,22559.80638,-4002.789660000002,20413.00558,-1855.9888600000013,23117.69887,-4560.682150000001,20762.78062,-2205.7639000000017,21589.87856,-3032.8618400000014,25445.28254,-6888.2658200000005,22694.82364,-4137.806919999999,29986.41225,-11429.395530000002,21312.38248,-2755.3657600000006,19118.31309,-561.29637,22721.70153,-4164.684809999999,26323.0371,-7766.020380000002,3449.93499,3593.98538,-144.05038999999988,3009.72812,440.20687,3428.63693,21.29806000000008,3694.83922,-244.90422999999964,3336.87831,113.05668000000014,3882.80825,-432.8732599999999,3516.49064,-66.55564999999979,3650.60386,-200.66887,4953.3269900000005,-1503.3920000000005,4717.13672,-1267.2017300000002,5594.14043,-2144.20544,3907.54067,-457.60567999999967,3628.80782,-178.8728299999998,3776.30755,-326.3725599999998,4657.74862,-1207.81363,1382.10332,1523.17167,-141.06835,1264.67341,117.42990999999984,1459.30255,-77.19923000000017,1285.07947,97.02385000000004,1337.0251,45.078219999999874,1626.5044,-244.4010800000001,1444.34806,-62.24474000000009,1585.98867,-203.88535,2177.08181,-794.9784900000002,2176.3665,-794.2631800000001,2527.81673,-1145.71341,1688.05672,-305.9534000000001,1543.48928,-161.38596000000007,1594.54628,-212.44296000000008,2087.71102,-705.6077000000002,835.47883,542.4590064096902
20007,368.79546,383.15653,393.0,0.0,2,25,HC,ROPA ACONDICIONADOR,ACONDICIONADOR,900.0,1.0,24.2,29.1,19.2,3.8,38.4,False,14.361069999999984,3.7480948060574577,377.66902,361.82904,447.26564,547.65697,434.30577,694.49793,694.87111,778.84928,718.11211,670.18111,1205.48871,383.80253,635.25815,607.52412,767.95742,-8.873559999999998,6.966419999999971,-78.47018000000003,-178.86151,-65.51031,-325.70247,-326.07565000000005,-410.05382,-349.31665000000004,-301.38565,-836.69325,-15.00707,-266.46269,-238.72866000000005,-399.16196,18557.01672,17956.986,600.0307199999988,16564.8676,1992.1491199999984,20725.71327,-2168.696550000001,22559.80638,-4002.789660000002,20413.00558,-1855.9888600000013,23117.69887,-4560.682150000001,20762.78062,-2205.7639000000017,21589.87856,-3032.8618400000014,25445.28254,-6888.2658200000005,22694.82364,-4137.806919999999,29986.41225,-11429.395530000002,21312.38248,-2755.3657600000006,19118.31309,-561.29637,22721.70153,-4164.684809999999,26323.0371,-7766.020380000002,2157.30003,1814.99032,342.30970999999977,1930.83067,226.46935999999985,2610.09835,-452.79832000000033,2700.35259,-543.0525600000001,2561.3462600000003,-404.0462300000004,3738.43933,-1581.1393000000005,3515.15613,-1357.8561,3446.61139,-1289.31136,3931.42691,-1774.1268800000005,3564.08919,-1406.7891600000005,4958.61456,-2801.31453,2614.77865,-457.4786199999999,2451.96688,-294.66685000000007,3181.37584,-1024.0758100000005,3541.83836,-1384.5383300000003,3269.04109,3007.4101,261.6309900000001,2801.59626,467.4448300000004,3649.43755,-380.39645999999993,3525.09998,-256.0588899999998,3310.59487,-41.55377999999973,4274.4273,-1005.38621,4136.27917,-867.2380799999996,4693.96762,-1424.9265300000002,4870.26869,-1601.2275999999997,4364.06674,-1095.02565,6722.0101,-3452.9690100000003,3616.93899,-347.89789999999994,3444.66646,-175.62536999999975,4122.75383,-853.7127399999995,4543.98267,-1274.9415800000002,511.54995,493.7243779376781
20008,476.98787,487.10919,446.0,0.0,2,25,HC,VAJILLA,Opaco,750.0,0.0,24.2,29.1,19.2,3.8,38.4,False,10.121320000000026,2.077833924668928,543.27828,426.32899,433.5017,532.45644,436.96269,554.82147,526.38149,554.57063,707.59267,691.53246,765.98901,506.25385,469.29224,543.14221,631.8606,-66.29041000000001,50.65888000000001,43.48616999999996,-55.46857000000006,40.02517999999998,-77.83359999999999,-49.39362,-77.58276000000006,-230.6048,-214.54459000000003,-289.00114,-29.265980000000013,7.695629999999994,-66.15433999999999,-154.87273,18557.01672,17956.986,600.0307199999988,16564.8676,1992.1491199999984,20725.71327,-2168.696550000001,22559.80638,-4002.789660000002,20413.00558,-1855.9888600000013,23117.69887,-4560.682150000001,20762.78062,-2205.7639000000017,21589.87856,-3032.8618400000014,25445.28254,-6888.2658200000005,22694.82364,-4137.806919999999,29986.41225,-11429.395530000002,21312.38248,-2755.3657600000006,19118.31309,-561.29637,22721.70153,-4164.684809999999,26323.0371,-7766.020380000002,3449.93499,3593.98538,-144.05038999999988,3009.72812,440.20687,3428.63693,21.29806000000008,3694.83922,-244.90422999999964,3336.87831,113.05668000000014,3882.80825,-432.8732599999999,3516.49064,-66.55564999999979,3650.60386,-200.66887,4953.3269900000005,-1503.3920000000005,4717.13672,-1267.2017300000002,5594.14043,-2144.20544,3907.54067,-457.60567999999967,3628.80782,-178.8728299999998,3776.30755,-326.3725599999998,4657.74862,-1207.81363,1105.54472,1096.42383,9.120890000000143,903.55457,201.99015000000009,974.56503,130.97969,1151.73139,-46.18666999999982,1039.84125,65.70347000000015,1231.09878,-125.55405999999994,1115.17635,-9.63162999999986,1108.16745,-2.622730000000047,1572.87446,-467.3297399999999,1495.88192,-390.3372,1715.04298,-609.4982599999998,1162.41861,-56.87388999999985,1067.39557,38.14915000000019,1199.53504,-93.99031999999988,1419.90955,-314.36483,403.69191,499.4873156447617
20009,366.72969,373.8455,366.0,0.0,2,25,HC,ROPA LAVADO,Liquido,3000.0,1.0,24.2,29.1,19.2,3.8,38.4,False,7.11581000000001,1.90340929608622,465.47521,555.27622,551.96254,596.92913,587.6409,529.56178,383.58812,398.99459,392.31112,297.43841,449.68079,434.03086,264.48599,514.8801,237.34808,-98.74552,-188.54653,-185.23285,-230.19944,-220.91121,-162.83209,-16.85843,-32.26490000000001,-25.58143000000001,69.29128000000003,-82.9511,-67.30117000000001,102.2437,-148.15040999999997,129.38161,18557.01672,17956.986,600.0307199999988,16564.8676,1992.1491199999984,20725.71327,-2168.696550000001,22559.80638,-4002.789660000002,20413.00558,-1855.9888600000013,23117.69887,-4560.682150000001,20762.78062,-2205.7639000000017,21589.87856,-3032.8618400000014,25445.28254,-6888.2658200000005,22694.82364,-4137.806919999999,29986.41225,-11429.395530000002,21312.38248,-2755.3657600000006,19118.31309,-561.29637,22721.70153,-4164.684809999999,26323.0371,-7766.020380000002,9849.71082,9588.29406,261.41676000000007,9253.0304,596.6804200000006,12044.53973,-2194.82891,13170.32789,-3320.61707,11921.09738,-2071.386559999999,12270.15701,-2420.4461899999988,10571.97919,-722.2683699999998,11624.15151,-1774.4406899999994,13101.47867,-3251.76785,10820.04607,-970.33525,15297.13566,-5447.42484,11505.81707,-1656.1062500000007,10273.33927,-423.62845000000016,12591.53112,-2741.8202999999994,14484.51475,-4634.80393,4803.36603,4714.71521,88.65081999999984,4845.26343,-41.89739999999984,6436.29452,-1632.9284900000002,6989.499870000001,-2186.1338400000004,5221.53214,-418.1661100000001,5375.71267,-572.3466399999998,4606.54745,196.8185800000001,4699.75161,103.61441999999988,5486.00805,-682.6420200000002,4552.74026,250.62577000000056,6097.12292,-1293.7568899999997,4243.47832,559.88771,4549.7983,253.5677300000007,4434.73833,368.6277,4920.6361,-117.27006999999958,391.28033,378.128144405368
20010,337.76009,350.74178,254.0,0.0,2,25,HC,ROPA LAVADO,Polvo,400.0,0.0,24.2,29.1,19.2,3.8,38.4,False,12.981690000000016,3.70121004688977,370.75591,285.02947,414.97753,612.50721,480.60235,582.83104,331.96807,223.87746,227.24082,171.74107,653.77607,477.48363,298.25586,507.57042,747.14647,-32.99581999999998,52.73061999999999,-77.21744000000001,-274.74712,-142.84226,-245.07095000000004,5.79201999999998,113.88262999999998,110.51926999999998,166.01901999999998,-316.01598,-139.72354,39.50423000000001,-169.81033000000002,-409.38638,18557.01672,17956.986,600.0307199999988,16564.8676,1992.1491199999984,20725.71327,-2168.696550000001,22559.80638,-4002.789660000002,20413.00558,-1855.9888600000013,23117.69887,-4560.682150000001,20762.78062,-2205.7639000000017,21589.87856,-3032.8618400000014,25445.28254,-6888.2658200000005,22694.82364,-4137.806919999999,29986.41225,-11429.395530000002,21312.38248,-2755.3657600000006,19118.31309,-561.29637,22721.70153,-4164.684809999999,26323.0371,-7766.020380000002,9849.71082,9588.29406,261.41676000000007,9253.0304,596.6804200000006,12044.53973,-2194.82891,13170.32789,-3320.61707,11921.09738,-2071.386559999999,12270.15701,-2420.4461899999988,10571.97919,-722.2683699999998,11624.15151,-1774.4406899999994,13101.47867,-3251.76785,10820.04607,-970.33525,15297.13566,-5447.42484,11505.81707,-1656.1062500000007,10273.33927,-423.62845000000016,12591.53112,-2741.8202999999994,14484.51475,-4634.80393,5136.27272,4937.5587,198.71402000000035,4456.50637,679.7663499999999,5669.50968,-533.2369600000002,6239.95519,-1103.6824699999995,6771.1164,-1634.84368,6956.7274800000005,-1820.4547600000003,6037.31285,-901.0401300000004,6990.03975,-1853.76703,7680.34953,-2544.0768100000005,6334.77178,-1198.49906,9284.23663,-4147.96391,7310.89415,-2174.62143,5762.44385,-626.1711299999997,8175.49815,-3039.2254300000004,9586.82941,-4450.55669,446.72413,294.0832669675757
